Depth [m],Area [m2]
11.36,2584637
11.37,2583544.9
11.38,2582479
11.39,2581372.1
11.4,2580307.2
11.41,2579205.7
11.42,2578142
11.43,2577078.2
11.44,2576035.3
11.45,2574985.5
11.46,2573967.8
11.47,2572989
11.48,2571956
11.49,2570953
11.5,2569989
11.51,2568966.7
11.52,2567915.4
11.53,2566859.1
11.54,2565853.7
11.55,2564831
11.56,2563784.4
11.57,2562747
11.58,2561808.5
11.59,2560792.5
11.6,2559764.9
11.61,2558763
11.62,2557780.6
11.63,2556777.7
11.64,2555863.2
11.65,2554909.5
11.66,2553994.4
11.67,2553007.7
11.68,2552048.5
11.69,2551116.5
11.7,2550168.4
11.71,2549206.3
11.72,2548174.7
11.73,2547236.5
11.74,2546308.7
11.75,2545368.5
11.76,2544421
11.77,2543446.5
11.78,2542503.4
11.79,2541520.5
11.8,2540584
11.81,2539631.5
11.82,2538642.4
11.83,2537630
11.84,2536599.3
11.85,2535637.5
11.86,2534637.7
11.87,2533703
11.88,2532686.5
11.89,2531709.9
11.9,2530684.5
11.91,2529730
11.92,2528711.9
11.93,2527715
11.94,2526643.1
11.95,2525663.1
11.96,2524645.5
11.97,2523652
11.98,2522602
11.99,2521640.1
12,2520600
12.01,2519555.8
12.02,2518500
12.03,2517428.5
12.04,2516390.4
12.05,2515301.3
12.06,2514231.3
12.07,2513151
12.08,2512098.9
12.09,2510973.5
12.1,2509853.5
12.11,2508758.2
12.12,2507637.5
12.13,2506499.3
12.14,2505404.3
12.15,2504282.5
12.16,2503097.8
12.17,2502025.2
12.18,2500891.8
12.19,2499812.8
12.2,2498690.8
12.21,2497583.5
12.22,2496496.1
12.23,2495321.7
12.24,2494192.7
12.25,2493073.2
12.26,2491962
12.27,2490783.7
12.28,2489663.7
12.29,2488518.2
12.3,2487299.4
12.31,2486173.4
12.32,2484982.6
12.33,2483766.5
12.34,2482535
12.35,2481296.6
12.36,2480050.1
12.37,2478770.1
12.38,2477525
12.39,2476276
12.4,2475021.3
12.41,2473737.2
12.42,2472461.1
12.43,2471197.2
12.44,2469947.9
12.45,2468710.1
12.46,2467445.9
12.47,2466173
12.48,2464870.5
12.49,2463607
12.5,2462261.5
12.51,2460927.1
12.52,2459552.8
12.53,2458230.8
12.54,2456939.5
12.55,2455594
12.56,2454254.9
12.57,2452978.1
12.58,2451651.7
12.59,2450379.7
12.6,2449149.5
12.61,2447937.7
12.62,2446678
12.63,2445505.4
12.64,2444318
12.65,2443096.3
12.66,2441925
12.67,2440656.2
12.68,2439419.7
12.69,2438235
12.7,2437002.9
12.71,2435797
12.72,2434588.9
